date,us_equities,us_equities_tech,global_equities,em_equities,us_hy,us_ig,em_debt,cmdty,long_term_treasuries,short_term_treasuries
2018-10-26,417.08598062822864,791.041040741047,375.7327967589722,495.53093748871635,282.9603301899545,216.05024401952093,337.9459861248781,94.02041611304114,229.78597555527082,135.3045937876486
2018-10-27,417.08598062822864,791.041040741047,375.7327967589722,495.53093748871635,282.9603301899545,216.05024401952093,337.9459861248781,94.02041611304114,229.78597555527082,135.3045937876486
2018-10-28,417.08598062822864,791.041040741047,375.7327967589722,495.53093748871635,282.9603301899545,216.05024401952093,337.9459861248781,94.02041611304114,229.78597555527082,135.3045937876486
2018-10-29,414.3555143484104,775.0525993383508,374.56484746292983,493.02692991844503,283.0434393677457,215.95927674213874,337.2274529236888,93.37484858672057,229.35365862932176,135.2993557173537
2018-10-30,420.8835611596457,786.2354558803919,378.6644376072838,493.8273880043356,282.37263700532316,215.23657892631346,336.64106375949984,92.47986937102802,228.3434695239364,135.25221308469958
2018-10-31,425.4642753763866,804.3871977715703,383.3840615783114,504.18068095653024,283.25480088122725,214.74917993439414,336.29418566237393,92.0519634366947,226.51066153614923,135.18411817086582
2018-11-01,429.96806849755956,816.1716946429369,386.99886660347727,512.3974433302653,283.45607279490184,214.7942235378824,337.11595639246974,92.49422361673645,227.17082887359786,135.24697501440465
2018-11-02,427.29091027305594,804.1782226396211,386.21858656843784,525.7316668562869,283.8207546188519,214.03736298903854,337.4752229930644,92.83216204822826,224.61221704058553,135.11602325703208
2018-11-03,427.29091027305594,804.1782226396211,386.21858656843784,525.7316668562869,283.8207546188519,214.03736298903854,337.4752229930644,92.83216204822826,224.61221704058553,135.11602325703208
2018-11-04,427.29091027305594,804.1782226396211,386.21858656843784,525.7316668562869,283.8207546188519,214.03736298903854,337.4752229930644,92.83216204822826,224.61221704058553,135.11602325703208
2018-11-05,429.694697346295,800.9270039735735,386.9803359296023,523.4575197551243,284.0849565107038,214.5520441635325,337.72712256359625,93.1966211493003,225.51171286095158,135.1369755382117
2018-11-06,432.41895683465793,807.0418249946168,388.8947058116855,523.4384101340263,284.38348384519804,214.86686934954733,337.6858275520337,92.616528193553,225.666773763646,135.10554711644227
2018-11-07,441.59441012049587,831.7859394103045,395.3078947099714,526.4307179154231,285.3701842964216,215.2754620369623,338.2102741988787,92.68595151573378,225.76874561551756,135.07935676496777
2018-11-08,440.71846958450817,827.095432586435,395.11187295571665,524.1459430035964,285.5870586840245,214.97359788783038,337.63214403700226,92.18947604335104,225.66998192025346,135.03221413231364
