dataset_type,accuracy,precision,recall,f1-score,dataset,classifier,generator
mixed,0.6766735679779158,0.4424920127795527,0.5734989648033126,0.4995491433724076,RealWorld_thigh_None,SVM,timeganpt_synth
synthetic_comb,0.17598343685300208,0.44072948328267475,0.3002070393374741,0.35714285714285715,RealWorld_thigh_None,Random Forest,timeganpt_synth
mixed_comb,0.5786749482401656,0.4027926960257787,0.7763975155279503,0.5304101838755304,RealWorld_thigh_None,Random Forest,timeganpt_synth
synthetic_comb,0.2629399585921325,0.29207920792079206,0.2443064182194617,0.266065388951522,RealWorld_thigh_None,SVM,timeganpt_synth
mixed_comb,0.49344375431331955,0.32954545454545453,0.36024844720496896,0.34421364985163205,RealWorld_thigh_None,SVM,timeganpt_synth
real,0.6090407177363699,0.39381003201707576,0.7639751552795031,0.5197183098591549,RealWorld_thigh_None,Random Forest,Doppelgangerger_synth
synthetic,0.2070393374741201,0.0,0.0,0.0,RealWorld_thigh_None,Random Forest,Doppelgangerger_synth
mixed,0.6338854382332644,0.43771827706635624,0.7784679089026915,0.5603576751117735,RealWorld_thigh_None,Random Forest,Doppelgangerger_synth
real,0.6469979296066253,0.3095723014256619,0.3146997929606625,0.31211498973305957,RealWorld_thigh_None,SVM,Doppelgangerger_synth
synthetic,0.22015182884748102,0.0,0.0,0.0,RealWorld_thigh_None,SVM,Doppelgangerger_synth
mixed,0.6442374051069704,0.308300395256917,0.32298136645962733,0.3154701718907988,RealWorld_thigh_None,SVM,Doppelgangerger_synth
synthetic_comb,0.09799861973775018,0.0,0.0,0.0,RealWorld_thigh_None,Random Forest,Doppelgangerger_synth
mixed_comb,0.601104209799862,0.39869989165763814,0.7619047619047619,0.5234708392603129,RealWorld_thigh_None,Random Forest,Doppelgangerger_synth
synthetic_comb,0.16804692891649414,0.0,0.0,0.0,RealWorld_thigh_None,SVM,Doppelgangerger_synth
mixed_comb,0.6369910282953761,0.30632411067193677,0.32091097308488614,0.3134479271991911,RealWorld_thigh_None,SVM,Doppelgangerger_synth
real,0.6187025534851622,0.39487726787620064,0.7660455486542443,0.5211267605633803,RealWorld_thigh_None,Random Forest,uncond_diffusion_unet1d_synth
synthetic,0.5037957211870255,0.6904231625835189,0.6418219461697723,0.6652360515021459,RealWorld_thigh_None,Random Forest,uncond_diffusion_unet1d_synth
mixed,0.7360248447204969,0.680073126142596,0.7701863354037267,0.7223300970873786,RealWorld_thigh_None,Random Forest,uncond_diffusion_unet1d_synth
real,0.6469979296066253,0.3095723014256619,0.3146997929606625,0.31211498973305957,RealWorld_thigh_None,SVM,uncond_diffusion_unet1d_synth
synthetic,0.2981366459627329,0.30390143737166325,0.3064182194616977,0.30515463917525776,RealWorld_thigh_None,SVM,uncond_diffusion_unet1d_synth
mixed,0.6697722567287785,0.385146804835924,0.4616977225672878,0.4199623352165725,RealWorld_thigh_None,SVM,uncond_diffusion_unet1d_synth
synthetic_comb,0.4313319530710835,0.6172248803827751,0.2670807453416149,0.37283236994219654,RealWorld_thigh_None,Random Forest,uncond_diffusion_unet1d_synth
mixed_comb,0.6204278812974465,0.42093023255813955,0.7494824016563147,0.5390915860014892,RealWorld_thigh_None,Random Forest,uncond_diffusion_unet1d_synth
synthetic_comb,0.3385093167701863,0.4458174904942966,0.9710144927536232,0.6110749185667752,RealWorld_thigh_None,SVM,uncond_diffusion_unet1d_synth
mixed_comb,0.6456176673567978,0.4348404255319149,0.6770186335403726,0.5295546558704454,RealWorld_thigh_None,SVM,uncond_diffusion_unet1d_synth
real,0.6743827160493827,0.4697833523375142,0.9537037037037037,0.6294881588999236,RealWorld_waist_None,Random Forest,cond_diffusion_unet1d_synth
synthetic,0.5489969135802469,0.5,0.3912037037037037,0.43896103896103894,RealWorld_waist_None,Random Forest,cond_diffusion_unet1d_synth
mixed,0.6793981481481481,0.5092105263157894,0.8958333333333334,0.6493288590604027,RealWorld_waist_None,Random Forest,cond_diffusion_unet1d_synth
real,0.652391975308642,0.4386503067484663,0.9930555555555556,0.6085106382978723,RealWorld_waist_None,SVM,cond_diffusion_unet1d_synth
synthetic,0.25578703703703703,0.32323232323232326,0.5185185185185185,0.3982222222222222,RealWorld_waist_None,SVM,cond_diffusion_unet1d_synth
mixed,0.6554783950617284,0.4251101321585903,0.8935185185185185,0.5761194029850746,RealWorld_waist_None,SVM,cond_diffusion_unet1d_synth
synthetic_comb,0.5250771604938271,0.5816993464052288,0.20601851851851852,0.30427350427350425,RealWorld_waist_None,Random Forest,cond_diffusion_unet1d_synth
mixed_comb,0.6500771604938271,0.4519119351100811,0.9027777777777778,0.6023166023166023,RealWorld_waist_None,Random Forest,cond_diffusion_unet1d_synth
synthetic_comb,0.5204475308641975,0.2111111111111111,0.04398148148148148,0.07279693486590039,RealWorld_waist_None,SVM,cond_diffusion_unet1d_synth
mixed_comb,0.6327160493827161,0.4259656652360515,0.9189814814814815,0.5821114369501467,RealWorld_waist_None,SVM,cond_diffusion_unet1d_synth
real,0.6712962962962963,0.46651532349602726,0.9513888888888888,0.6260472201066261,RealWorld_waist_None,Random Forest,timeganpt_synth
synthetic,0.2037037037037037,0.0,0.0,0.0,RealWorld_waist_None,Random Forest,timeganpt_synth
mixed,0.6157407407407407,0.44640883977900553,0.9351851851851852,0.6043380703066566,RealWorld_waist_None,Random Forest,timeganpt_synth
real,0.652391975308642,0.4386503067484663,0.9930555555555556,0.6085106382978723,RealWorld_waist_None,SVM,timeganpt_synth
synthetic,0.5235339506172839,0.3926282051282051,0.5671296296296297,0.4640151515151515,RealWorld_waist_None,SVM,timeganpt_synth
mixed,0.6134259259259259,0.35488505747126436,0.5717592592592593,0.4379432624113475,RealWorld_waist_None,SVM,timeganpt_synth
synthetic_comb,0.24305555555555555,0.4211618257261411,0.4699074074074074,0.4442013129102845,RealWorld_waist_None,Random Forest,timeganpt_synth
mixed_comb,0.6419753086419753,0.4655367231638418,0.9537037037037037,0.6256643887623387,RealWorld_waist_None,Random Forest,timeganpt_synth
synthetic_comb,0.2824074074074074,0.3784246575342466,0.5115740740740741,0.43503937007874016,RealWorld_waist_None,SVM,timeganpt_synth
mixed_comb,0.5543981481481481,0.36675461741424803,0.6435185185185185,0.4672268907563025,RealWorld_waist_None,SVM,timeganpt_synth
real,0.6693672839506173,0.4617117117117117,0.9490740740740741,0.6212121212121212,RealWorld_waist_None,Random Forest,Doppelgangerger_synth
synthetic,0.17901234567901234,0.07692307692307693,0.0023148148148148147,0.0044943820224719105,RealWorld_waist_None,Random Forest,Doppelgangerger_synth
mixed,0.6697530864197531,0.46485260770975056,0.9490740740740741,0.624048706240487,RealWorld_waist_None,Random Forest,Doppelgangerger_synth
real,0.652391975308642,0.4386503067484663,0.9930555555555556,0.6085106382978723,RealWorld_waist_None,SVM,Doppelgangerger_synth
synthetic,0.24382716049382716,0.0,0.0,0.0,RealWorld_waist_None,SVM,Doppelgangerger_synth
mixed,0.6508487654320988,0.4381551362683438,0.9675925925925926,0.6031746031746031,RealWorld_waist_None,SVM,Doppelgangerger_synth
synthetic_comb,0.21141975308641975,0.0,0.0,0.0,RealWorld_waist_None,Random Forest,Doppelgangerger_synth
mixed_comb,0.6705246913580247,0.45955056179775283,0.9467592592592593,0.6187594553706506,RealWorld_waist_None,Random Forest,Doppelgangerger_synth
synthetic_comb,0.16666666666666666,0.0,0.0,0.0,RealWorld_waist_None,SVM,Doppelgangerger_synth
